aolp_deg, mean_residual, std_residual, target_name, target_ra, target_dec
0, 0.00088288, 0.00074081, Hamal, 31.791, 23.462
20, 0.00077203, 0.00063252, Hamal, 31.791, 23.462
40, 0.00069877, 0.00053818, Hamal, 31.791, 23.462
60, 0.00064254, 0.00051983, Hamal, 31.791, 23.462
80, 0.00072800, 0.00044558, Hamal, 31.791, 23.462
100, 0.00059930, 0.00047935, Hamal, 31.791, 23.462
120, 0.00063394, 0.00043612, Hamal, 31.791, 23.462
140, 0.00060988, 0.00044078, Hamal, 31.791, 23.462
160, 0.00075857, 0.00047415, Hamal, 31.791, 23.462
180, 0.00067201, 0.00046767, Hamal, 31.791, 23.462
