Integration Time (min), DoLP Residual, Target RA, Target Dec, Target Altitude
1.00, 0.00000059, 31.791, 23.462, 85.36
2.00, 0.00000222, 31.791, 23.462, 85.36
3.00, 0.00000466, 31.791, 23.462, 85.36
4.00, 0.00000773, 31.791, 23.462, 85.36
5.00, 0.00001124, 31.791, 23.462, 85.36
6.00, 0.00001505, 31.791, 23.462, 85.36
7.00, 0.00001904, 31.791, 23.462, 85.36
8.00, 0.00002310, 31.791, 23.462, 85.36
9.00, 0.00002717, 31.791, 23.462, 85.36
10.00, 0.00003117, 31.791, 23.462, 85.36
11.00, 0.00003506, 31.791, 23.462, 85.36
12.00, 0.00003882, 31.791, 23.462, 85.36
13.00, 0.00004240, 31.791, 23.462, 85.36
14.00, 0.00004581, 31.791, 23.462, 85.36
15.00, 0.00004903, 31.791, 23.462, 85.36
16.00, 0.00005206, 31.791, 23.462, 85.36
17.00, 0.00005490, 31.791, 23.462, 85.36
18.00, 0.00005756, 31.791, 23.462, 85.36
19.00, 0.00006004, 31.791, 23.462, 85.36
20.00, 0.00006235, 31.791, 23.462, 85.36
21.00, 0.00006451, 31.791, 23.462, 85.36
22.00, 0.00006652, 31.791, 23.462, 85.36
23.00, 0.00006840, 31.791, 23.462, 85.36
24.00, 0.00007015, 31.791, 23.462, 85.36
25.00, 0.00007180, 31.791, 23.462, 85.36
26.00, 0.00007334, 31.791, 23.462, 85.36
27.00, 0.00007480, 31.791, 23.462, 85.36
28.00, 0.00007618, 31.791, 23.462, 85.36
29.00, 0.00007749, 31.791, 23.462, 85.36
30.00, 0.00007874, 31.791, 23.462, 85.36
1.00, 0.00000001, 51.079, 49.861, 57.55
2.00, 0.00000005, 51.079, 49.861, 57.55
3.00, 0.00000012, 51.079, 49.861, 57.55
4.00, 0.00000021, 51.079, 49.861, 57.55
5.00, 0.00000033, 51.079, 49.861, 57.55
6.00, 0.00000048, 51.079, 49.861, 57.55
7.00, 0.00000066, 51.079, 49.861, 57.55
8.00, 0.00000087, 51.079, 49.861, 57.55
9.00, 0.00000110, 51.079, 49.861, 57.55
10.00, 0.00000137, 51.079, 49.861, 57.55
11.00, 0.00000166, 51.079, 49.861, 57.55
12.00, 0.00000199, 51.079, 49.861, 57.55
13.00, 0.00000234, 51.079, 49.861, 57.55
14.00, 0.00000272, 51.079, 49.861, 57.55
15.00, 0.00000314, 51.079, 49.861, 57.55
16.00, 0.00000358, 51.079, 49.861, 57.55
17.00, 0.00000406, 51.079, 49.861, 57.55
18.00, 0.00000457, 51.079, 49.861, 57.55
19.00, 0.00000511, 51.079, 49.861, 57.55
20.00, 0.00000568, 51.079, 49.861, 57.55
21.00, 0.00000629, 51.079, 49.861, 57.55
22.00, 0.00000692, 51.079, 49.861, 57.55
23.00, 0.00000759, 51.079, 49.861, 57.55
24.00, 0.00000829, 51.079, 49.861, 57.55
25.00, 0.00000902, 51.079, 49.861, 57.55
26.00, 0.00000979, 51.079, 49.861, 57.55
27.00, 0.00001059, 51.079, 49.861, 57.55
28.00, 0.00001142, 51.079, 49.861, 57.55
29.00, 0.00001228, 51.079, 49.861, 57.55
30.00, 0.00001318, 51.079, 49.861, 57.55
1.00, 0.00000000, 37.954, 89.264, 20.74
2.00, 0.00000001, 37.954, 89.264, 20.74
3.00, 0.00000003, 37.954, 89.264, 20.74
4.00, 0.00000005, 37.954, 89.264, 20.74
5.00, 0.00000008, 37.954, 89.264, 20.74
6.00, 0.00000012, 37.954, 89.264, 20.74
7.00, 0.00000016, 37.954, 89.264, 20.74
8.00, 0.00000021, 37.954, 89.264, 20.74
9.00, 0.00000026, 37.954, 89.264, 20.74
10.00, 0.00000032, 37.954, 89.264, 20.74
11.00, 0.00000039, 37.954, 89.264, 20.74
12.00, 0.00000046, 37.954, 89.264, 20.74
13.00, 0.00000054, 37.954, 89.264, 20.74
14.00, 0.00000062, 37.954, 89.264, 20.74
15.00, 0.00000071, 37.954, 89.264, 20.74
16.00, 0.00000080, 37.954, 89.264, 20.74
17.00, 0.00000089, 37.954, 89.264, 20.74
18.00, 0.00000099, 37.954, 89.264, 20.74
19.00, 0.00000110, 37.954, 89.264, 20.74
20.00, 0.00000121, 37.954, 89.264, 20.74
21.00, 0.00000132, 37.954, 89.264, 20.74
22.00, 0.00000144, 37.954, 89.264, 20.74
23.00, 0.00000156, 37.954, 89.264, 20.74
24.00, 0.00000169, 37.954, 89.264, 20.74
25.00, 0.00000182, 37.954, 89.264, 20.74
26.00, 0.00000195, 37.954, 89.264, 20.74
27.00, 0.00000209, 37.954, 89.264, 20.74
28.00, 0.00000223, 37.954, 89.264, 20.74
29.00, 0.00000237, 37.954, 89.264, 20.74
30.00, 0.00000251, 37.954, 89.264, 20.74
