Integration Time (min), DoLP Residual, Target RA, Target Dec, Target Altitude
1.00, 0.00000575, 31.791, 23.462, 85.36
2.00, 0.00000645, 31.791, 23.462, 85.36
3.00, 0.00000023, 31.791, 23.462, 85.36
4.00, 0.00000258, 31.791, 23.462, 85.36
5.00, 0.00000543, 31.791, 23.462, 85.36
6.00, 0.00002010, 31.791, 23.462, 85.36
7.00, 0.00002699, 31.791, 23.462, 85.36
8.00, 0.00002557, 31.791, 23.462, 85.36
9.00, 0.00003362, 31.791, 23.462, 85.36
10.00, 0.00002831, 31.791, 23.462, 85.36
11.00, 0.00003682, 31.791, 23.462, 85.36
12.00, 0.00003729, 31.791, 23.462, 85.36
13.00, 0.00004144, 31.791, 23.462, 85.36
14.00, 0.00004611, 31.791, 23.462, 85.36
15.00, 0.00004978, 31.791, 23.462, 85.36
16.00, 0.00005121, 31.791, 23.462, 85.36
17.00, 0.00005511, 31.791, 23.462, 85.36
18.00, 0.00005020, 31.791, 23.462, 85.36
19.00, 0.00006187, 31.791, 23.462, 85.36
20.00, 0.00006429, 31.791, 23.462, 85.36
21.00, 0.00006062, 31.791, 23.462, 85.36
22.00, 0.00006560, 31.791, 23.462, 85.36
23.00, 0.00007389, 31.791, 23.462, 85.36
24.00, 0.00007141, 31.791, 23.462, 85.36
25.00, 0.00006487, 31.791, 23.462, 85.36
26.00, 0.00007971, 31.791, 23.462, 85.36
27.00, 0.00007666, 31.791, 23.462, 85.36
28.00, 0.00007661, 31.791, 23.462, 85.36
29.00, 0.00007738, 31.791, 23.462, 85.36
30.00, 0.00008354, 31.791, 23.462, 85.36
1.00, 0.00000235, 51.079, 49.861, 57.55
2.00, 0.00000797, 51.079, 49.861, 57.55
3.00, 0.00000104, 51.079, 49.861, 57.55
4.00, 0.00000087, 51.079, 49.861, 57.55
5.00, 0.00000248, 51.079, 49.861, 57.55
6.00, 0.00001088, 51.079, 49.861, 57.55
7.00, 0.00000510, 51.079, 49.861, 57.55
8.00, 0.00000099, 51.079, 49.861, 57.55
9.00, 0.00000203, 51.079, 49.861, 57.55
10.00, 0.00000965, 51.079, 49.861, 57.55
11.00, 0.00001400, 51.079, 49.861, 57.55
12.00, 0.00000924, 51.079, 49.861, 57.55
13.00, 0.00000181, 51.079, 49.861, 57.55
14.00, 0.00000394, 51.079, 49.861, 57.55
15.00, 0.00000691, 51.079, 49.861, 57.55
16.00, 0.00000246, 51.079, 49.861, 57.55
17.00, 0.00000424, 51.079, 49.861, 57.55
18.00, 0.00000124, 51.079, 49.861, 57.55
19.00, 0.00000240, 51.079, 49.861, 57.55
20.00, 0.00000124, 51.079, 49.861, 57.55
21.00, 0.00001069, 51.079, 49.861, 57.55
22.00, 0.00001301, 51.079, 49.861, 57.55
23.00, 0.00000148, 51.079, 49.861, 57.55
24.00, 0.00001122, 51.079, 49.861, 57.55
25.00, 0.00000558, 51.079, 49.861, 57.55
26.00, 0.00000896, 51.079, 49.861, 57.55
27.00, 0.00000479, 51.079, 49.861, 57.55
28.00, 0.00001894, 51.079, 49.861, 57.55
29.00, 0.00001757, 51.079, 49.861, 57.55
30.00, 0.00000342, 51.079, 49.861, 57.55
1.00, 0.00000533, 37.954, 89.264, 20.74
2.00, 0.00001142, 37.954, 89.264, 20.74
3.00, 0.00000564, 37.954, 89.264, 20.74
4.00, 0.00000670, 37.954, 89.264, 20.74
5.00, 0.00000105, 37.954, 89.264, 20.74
6.00, 0.00000568, 37.954, 89.264, 20.74
7.00, 0.00000351, 37.954, 89.264, 20.74
8.00, 0.00000330, 37.954, 89.264, 20.74
9.00, 0.00001029, 37.954, 89.264, 20.74
10.00, 0.00000423, 37.954, 89.264, 20.74
11.00, 0.00001152, 37.954, 89.264, 20.74
12.00, 0.00000114, 37.954, 89.264, 20.74
13.00, 0.00000730, 37.954, 89.264, 20.74
14.00, 0.00000866, 37.954, 89.264, 20.74
15.00, 0.00000050, 37.954, 89.264, 20.74
16.00, 0.00000478, 37.954, 89.264, 20.74
17.00, 0.00000228, 37.954, 89.264, 20.74
18.00, 0.00000485, 37.954, 89.264, 20.74
19.00, 0.00000857, 37.954, 89.264, 20.74
20.00, 0.00000321, 37.954, 89.264, 20.74
21.00, 0.00000238, 37.954, 89.264, 20.74
22.00, 0.00000357, 37.954, 89.264, 20.74
23.00, 0.00000066, 37.954, 89.264, 20.74
24.00, 0.00000035, 37.954, 89.264, 20.74
25.00, 0.00000124, 37.954, 89.264, 20.74
26.00, 0.00000635, 37.954, 89.264, 20.74
27.00, 0.00000695, 37.954, 89.264, 20.74
28.00, 0.00000364, 37.954, 89.264, 20.74
29.00, 0.00000680, 37.954, 89.264, 20.74
30.00, 0.00000763, 37.954, 89.264, 20.74
