delta_HWP_ang, mean_residual, std_residual, target_name, target_ra, target_dec
1, 0.00000332, 0.00000000, Hamal, 31.791, 23.462
2, 0.00001224, 0.00000000, Hamal, 31.791, 23.462
3, 0.00004584, 0.00000000, Hamal, 31.791, 23.462
4, 0.00009696, 0.00000000, Hamal, 31.791, 23.462
5, 0.00016482, 0.00000000, Hamal, 31.791, 23.462
6, 0.00024844, 0.00000000, Hamal, 31.791, 23.462
7, 0.00034659, 0.00000000, Hamal, 31.791, 23.462
8, 0.00045793, 0.00000000, Hamal, 31.791, 23.462
9, 0.00058097, 0.00000000, Hamal, 31.791, 23.462
10, 0.00071415, 0.00000000, Hamal, 31.791, 23.462
